Format_Name,Standardized_Format_Name,Format_Type
"MS-DOS executable, MZ for MS-DOS, ZIP self-extracting archive",MS-DOS executable,executable
"MS-DOS executable, NE for MS Windows 3.x",MS-DOS executable,executable
"MS-DOS executable, NE for MS Windows 3.x (driver)",MS-DOS executable,executable
ms-windows metafont .wmf,MS Windows metafont,application
Musical Instrument Digital Interface,Musical Instrument Digital Interface,audio
MXF,Material Exchange Format,video
NEF EXIF,NEF EXIF,image
"news or mail, ASCII text, with CRLF line terminators",News or mail,message
"news or mail, ASCII text, with no line terminators",News or mail,message
"news or mail, ASCII text, with very long lines, with CRLF line terminators",News or mail,message
"news or mail, ISO-8859 text, with CRLF line terminators",News or mail,message
"news or mail, ISO-8859 text, with very long lines, with CRLF line terminators",News or mail,message
"news or mail, Non-ISO extended-ASCII text, with very long lines, with CRLF line terminators",News or mail,message
Office Open XML Document,Microsoft Office Open XML Document,text
Office Open XML Document (Macros Enabled),Microsoft Office Open XML Document,text
Office Open XML Presentation,Microsoft Office Open XML Presentation,presentation
Office Open XML Presentation (macro-enabled),Microsoft Office Open XML Presentation,presentation
Office Open XML Presentation Slideshow,Microsoft Office Open XML Presentation,presentation
Office Open XML Workbook,Microsoft Office Open XML Workbook,spreadsheet
Office Open XML Workbook (macro-enabled),Microsoft Office Open XML Workbook,spreadsheet
Ogg Vorbis Codec Compressed Multimedia File,Ogg Vorbis Codec,audio
Ogg Vorbis Codec Compressed WAV File,Ogg Vorbis Codec,audio
OLE2 Compound Document Format,OLE2 Compound Document Format,text
OpenDocument Text,OpenDocument Text,text
OpenType font data,OpenType Font File,application
OTF,OpenType Font File,application
Outlook Express Message Database,Outlook Express,message
PAGES,Apple iWork Pages,text
PaintShop Pro Browser Cache File,PaintShop Pro Browser Cache File,application
Paradox Database Memo Field (Binary Large Object),Paradox Database,database
Paradox Database Table,Paradox Database,database
Password Protected OOXML File,Microsoft Word,text
PC formatted floppy with no filesystem,PC formatted floppy,application
PCX,PCX,image
PCX ver. 2.5 image data,PCX,image
PDF,Adobe PDF,text
PDF EXIF,Adobe PDF,text
PDF/A,Adobe PDF,text
PDF/X,Adobe PDF,text
PDP-11 kernel overlay,PDP-11,executable
PDP-11 overlaid pure executable not stripped,PDP-11,executable
PDP-11 overlaid separate executable not stripped,PDP-11,executable
"PE32 executable (console) Intel 80386, for MS Windows",PE32 executable,executable
"PE32 executable (DLL) (console) Intel 80386 (stripped to external PDB), for MS Windows",PE32 executable,executable
"PE32 executable (DLL) (console) Intel 80386, for MS Windows",PE32 executable,executable
"PE32 executable (DLL) (GUI) Intel 80386 (stripped to external PDB), for MS Windows",PE32 executable,executable
"PE32 executable (DLL) (GUI) Intel 80386, for MS Windows",PE32 executable,executable
"PE32 executable (GUI) Intel 80386 (stripped to external PDB), for MS Windows",PE32 executable,executable
"PE32 executable (GUI) Intel 80386 (stripped to external PDB), for MS Windows, MS CAB-Installer self-extracting archive",PE32 executable,executable
"PE32 executable (GUI) Intel 80386, for MS Windows",PE32 executable,executable
"PE32 executable (GUI) Intel 80386, for MS Windows, InstallShield self-extracting archive",PE32 executable,executable
"PE32 executable (GUI) Intel 80386, for MS Windows, MS CAB-Installer self-extracting archive",PE32 executable,executable
"PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed",PE32 executable,executable
"PE32 executable (GUI) Intel 80386, for MS Windows, WISE installer self-extracting archive",PE32 executable,executable
PGP encrypted data,PGP encrypted data,message
PHP,PHP Script Page,executable
PHP Script Page,PHP Script Page,executable
"PHP script, ASCII text",PHP Script Page,executable
"PHP script, ASCII text, with CRLF line terminators",PHP Script Page,executable
PICT,Macintosh PICT Image,image
PKCS #7 Crytographic message file,PKCS #7 Crytographic Message File,message
pkf,PKF,application
Plain text,Plain Text File,text
PLIST,PLIST,application
Portable Document Format,Adobe PDF,text
Portable Network Graphics,PNG,image
Postscript,PostScript,design
PostScript document text,PostScript,design
PPS,Microsoft Powerpoint,presentation
PSB EXIF,Adobe Photoshop,image
Quark Xpress Data File,Quark Xpress,design
Quicken Data File,Quicken,database
Quicken Data Format,Quicken,database
QuickTime,Quicktime,video
Quicktime video,Quicktime,video
RA,RealAudio,audio
RAM,RealAudio,audio
"raw G3 data, byte-padded",Raw G3 data,text
"RCS/CVS diff output, ASCII text, with CRLF line terminators",RCS/CVS diff output,text
RDF/XML,RDF/XML,structured_text
RealMedia,RealMedia,audio
Revit Family Template,Revit Family Template,model
"RFC 822 mail, ASCII text, with CRLF line terminators",RFC 822 mail,message
Rich Text Format (RTF),Rich Text Format,text
"RIFF (little-endian) data, WAVE audio 544501094 Hz",RIFF,audio
RSRC,RSRC,application
"saved news, ASCII text, with very long lines, with CRLF line terminators",Saved news,text
Scalable Vector Graphics (SVG),Scalable Vector Graphics,image
Sibelius,Sibelius,design
"SMTP mail, ASCII text",SMTP mail,message
"SMTP mail, ASCII text, with CRLF line terminators",SMTP mail,message
"SMTP mail, ASCII text, with very long lines, with CRLF line terminators",SMTP mail,message
SoundBlaster instrument data,SoundBlaster instrument data,audio
Standard MIDI data (format 1) using 3 tracks at 1/256,Standard MIDI data,audio
Stationery for Mac OS X,Stationery for Mac OS X,message
StuffIt Archive,StuffIt Archive File,archive
SWF,Macromedia Flash,image
Tagged Image File Format,TIFF,image
Tagged Image File Format for Electronic Photography (TIFF/EP),TIFF,image
Text Configuration file,Text Configuration file,application
Thumbs DB file,Thumbs DB file,application
tid,AVCHD Thumbnail Index File,video
TIFF,TIFF,image
TIFF Baseline bilevel (Class B),TIFF,image
TIFF Baseline palette-color (Class P),TIFF,image
TIFF DLF Benchmark for Faithful Digital Reproductions of Monographs and Serials: color,TIFF,image
TIFF DLF Benchmark for Faithful Digital Reproductions of Monographs and Serials: grayscale and white,TIFF,image
TIFF EXIF,TIFF,image
TIFF Exif 2.2 (JEITA CP-3451),TIFF,image
TIFF TIFF/IT-BP (ISO 12639:1998),TIFF,image
TIFF TIFF/IT-CT (ISO 12639:1998),TIFF,image
TIFF TIFF/IT-MP (ISO 12639:1998),TIFF,image
TIFF TIFF-FX (Profile F),TIFF,image
Transport Neutral Encapsulation Format,Transport Neutral Encapsulation Format,message
"troff or preprocessor input, ASCII text, with CRLF line terminators",Troff or preprocessor input,text
TrueType Font,TrueType Font,application
TrueType font data,TrueType Font,application
TTF,TrueType Font,application
Unknown Binary,Unknown Binary,application
Verity Collection Index Descriptor File,Verity Collection,application
VISX image file,VisX Image Format,image
VOB,Video Object File,video
WARC,WARC,web_archive
Wave,WAVE,audio
Waveform Audio,Waveform Audio,audio
Web Open Font Format,Web Open Font Format,application
Win32 DLL,Win32 DLL,application
Windows Bitmap,Windows Bitmap,image
Windows Help File,Windows Help File,application
Windows Media Audio,Windows Media,audio
Windows Media Video,Windows Media,video
Windows Metafile,Windows Media,image
Windows Metafile Image,Windows Media,image
"Windows Program Information File for A:\PET\BASYS.BAT, directory=A:\PET, TrueTypeFont=Courier New",Windows Program Information File,application
"Windows Program Information File for COMMAND.COM, TrueTypeFont=Courier New",Windows Program Information File,application
WMA,Windows Media,audio
WMF,Windows Media,image
WMV,Windows Media,video
WordPerfect,WordPerfect,text
WordPerfect Document,WordPerfect,text
